"COU","Country","SEX","Sex","IND","Indicator","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","1990","1990","WEEK","Weeks","0","Units",,,0,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","1991","1991","WEEK","Weeks","0","Units",,,0,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","1992","1992","WEEK","Weeks","0","Units",,,0,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","1993","1993","WEEK","Weeks","0","Units",,,0,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","1994","1994","WEEK","Weeks","0","Units",,,0,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","1995","1995","WEEK","Weeks","0","Units",,,0,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","1996","1996","WEEK","Weeks","0","Units",,,0,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","1997","1997","WEEK","Weeks","0","Units",,,0,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","1998","1998","WEEK","Weeks","0","Units",,,0,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","1999","1999","WEEK","Weeks","0","Units",,,0,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","2000","2000","WEEK","Weeks","0","Units",,,0,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","2001","2001","WEEK","Weeks","0","Units",,,0,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","2002","2002","WEEK","Weeks","0","Units",,,0,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","2003","2003","WEEK","Weeks","0","Units",,,0,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","2004","2004","WEEK","Weeks","0","Units",,,0,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","2005","2005","WEEK","Weeks","0","Units",,,0,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","2006","2006","WEEK","Weeks","0","Units",,,0,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","2007","2007","WEEK","Weeks","0","Units",,,0,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","2008","2008","WEEK","Weeks","0","Units",,,0,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","2009","2009","WEEK","Weeks","0","Units",,,0,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","2010","2010","WEEK","Weeks","0","Units",,,0,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","2011","2011","WEEK","Weeks","0","Units",,,0,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","2012","2012","WEEK","Weeks","0","Units",,,0,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","2013","2013","WEEK","Weeks","0","Units",,,0,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","2014","2014","WEEK","Weeks","0","Units",,,0,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","2015","2015","WEEK","Weeks","0","Units",,,0,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","2016","2016","WEEK","Weeks","0","Units",,,1,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","2017","2017","WEEK","Weeks","0","Units",,,1,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","2018","2018","WEEK","Weeks","0","Units",,,1,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","2019","2019","WEEK","Weeks","0","Units",,,1,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","2020","2020","WEEK","Weeks","0","Units",,,1,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","2021","2021","WEEK","Weeks","0","Units",,,1,,
"TUR","Türkiye","TOTAL","Total","FAM12B","Length of paid paternity and parental leave reserved for fathers in weeks","2022","2022","WEEK","Weeks","0","Units",,,1,,
"GBR","United Kingdom","TOTAL","Total","FAM11D","Public social expenditure on tax breaks for families as a % of GDP","2001","2001","PC","Percentage","0","Units",,,0.07,,
"GBR","United Kingdom","TOTAL","Total","FAM11D","Public social expenditure on tax breaks for families as a % of GDP","2003","2003","PC","Percentage","0","Units",,,0.31,,
"GBR","United Kingdom","TOTAL","Total","FAM11D","Public social expenditure on tax breaks for families as a % of GDP","2005","2005","PC","Percentage","0","Units",,,0.31,,
"GBR","United Kingdom","TOTAL","Total","FAM11D","Public social expenditure on tax breaks for families as a % of GDP","2007","2007","PC","Percentage","0","Units",,,0.27,,
"GBR","United Kingdom","TOTAL","Total","FAM11D","Public social expenditure on tax breaks for families as a % of GDP","2010","2010","PC","Percentage","0","Units",,,0.33,,
"GBR","United Kingdom","TOTAL","Total","FAM11D","Public social expenditure on tax breaks for families as a % of GDP","2011","2011","PC","Percentage","0","Units",,,0.27,,
"GBR","United Kingdom","TOTAL","Total","FAM11D","Public social expenditure on tax breaks for families as a % of GDP","2012","2012","PC","Percentage","0","Units",,,0.16,,
"GBR","United Kingdom","TOTAL","Total","FAM11D","Public social expenditure on tax breaks for families as a % of GDP","2013","2013","PC","Percentage","0","Units",,,0.14,,
"GBR","United Kingdom","TOTAL","Total","FAM11D","Public social expenditure on tax breaks for families as a % of GDP","2014","2014","PC","Percentage","0","Units",,,0.14,,
"GBR","United Kingdom","TOTAL","Total","FAM11D","Public social expenditure on tax breaks for families as a % of GDP","2015","2015","PC","Percentage","0","Units",,,0.14,,
"MEX","Mexico","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2001","2001","PC","Percentage","0","Units",,,0.46,,
"MEX","Mexico","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2002","2002","PC","Percentage","0","Units",,,0.51,,
"MEX","Mexico","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2003","2003","PC","Percentage","0","Units",,,0.65,,
"MEX","Mexico","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2004","2004","PC","Percentage","0","Units",,,0.53,,
"MEX","Mexico","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2005","2005","PC","Percentage","0","Units",,,0.57,,
"MEX","Mexico","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2006","2006","PC","Percentage","0","Units",,,0.6,,
"MEX","Mexico","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2007","2007","PC","Percentage","0","Units",,,0.6,,
"MEX","Mexico","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2008","2008","PC","Percentage","0","Units",,,0.68,,
"MEX","Mexico","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2009","2009","PC","Percentage","0","Units",,,0.61,,
"MEX","Mexico","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2010","2010","PC","Percentage","0","Units",,,0.61,,
"MEX","Mexico","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2011","2011","PC","Percentage","0","Units",,,0.6,,
"MEX","Mexico","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2012","2012","PC","Percentage","0","Units",,,0.57,,
"MEX","Mexico","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2013","2013","PC","Percentage","0","Units",,,0.58,,
"MEX","Mexico","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2014","2014","PC","Percentage","0","Units",,,0.58,,
"MEX","Mexico","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2015","2015","PC","Percentage","0","Units",,,0.59,,
"MEX","Mexico","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2016","2016","PC","Percentage","0","Units",,,0.57,,
"MEX","Mexico","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2017","2017","PC","Percentage","0","Units",,,0.54,,
"MEX","Mexico","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2018","2018","PC","Percentage","0","Units",,,0.52,,
"MEX","Mexico","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2019","2019","PC","Percentage","0","Units",,,0.53,,
"CZE","Czech Republic","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2001","2001","PC","Percentage","0","Units",,,1.24,,
"CZE","Czech Republic","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2002","2002","PC","Percentage","0","Units",,,1.26,,
"CZE","Czech Republic","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2003","2003","PC","Percentage","0","Units",,,1.16,,
"CZE","Czech Republic","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2004","2004","PC","Percentage","0","Units",,,1.23,,
"CZE","Czech Republic","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2005","2005","PC","Percentage","0","Units",,,1.52,,
"CZE","Czech Republic","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2006","2006","PC","Percentage","0","Units",,,1.48,,
"CZE","Czech Republic","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2007","2007","PC","Percentage","0","Units",,,1.78,,
"CZE","Czech Republic","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2008","2008","PC","Percentage","0","Units",,,1.8,,
"CZE","Czech Republic","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2009","2009","PC","Percentage","0","Units",,,1.83,,
"CZE","Czech Republic","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2010","2010","PC","Percentage","0","Units",,,1.84,,
"CZE","Czech Republic","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2011","2011","PC","Percentage","0","Units",,,1.66,,
"CZE","Czech Republic","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2012","2012","PC","Percentage","0","Units",,,1.61,,
"CZE","Czech Republic","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2013","2013","PC","Percentage","0","Units",,,1.63,,
"CZE","Czech Republic","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2014","2014","PC","Percentage","0","Units",,,1.52,,
"CZE","Czech Republic","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2015","2015","PC","Percentage","0","Units",,,1.5,,
"CZE","Czech Republic","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2016","2016","PC","Percentage","0","Units",,,1.5,,
"CZE","Czech Republic","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2017","2017","PC","Percentage","0","Units",,,1.44,,
"FRA","France","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2001","2001","PC","Percentage","0","Units",,,1.51,,
"FRA","France","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2002","2002","PC","Percentage","0","Units",,,1.49,,
"FRA","France","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2003","2003","PC","Percentage","0","Units",,,1.56,,
"FRA","France","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2004","2004","PC","Percentage","0","Units",,,1.63,,
"FRA","France","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2005","2005","PC","Percentage","0","Units",,,1.58,,
"FRA","France","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2006","2006","PC","Percentage","0","Units",,,1.18,,
"FRA","France","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2007","2007","PC","Percentage","0","Units",,,1.21,,
"FRA","France","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2008","2008","PC","Percentage","0","Units",,,1.23,,
"FRA","France","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2009","2009","PC","Percentage","0","Units",,,1.32,,
"FRA","France","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2010","2010","PC","Percentage","0","Units",,,1.33,,
"FRA","France","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2011","2011","PC","Percentage","0","Units",,,1.33,,
"FRA","France","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2012","2012","PC","Percentage","0","Units",,,1.36,,
"FRA","France","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2013","2013","PC","Percentage","0","Units",,,1.42,,
"FRA","France","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2014","2014","PC","Percentage","0","Units",,,1.44,,
"FRA","France","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2015","2015","PC","Percentage","0","Units",,,1.45,,
"FRA","France","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2016","2016","PC","Percentage","0","Units",,,1.45,,
"FRA","France","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2017","2017","PC","Percentage","0","Units",,,1.46,,
"FRA","France","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2018","2018","PC","Percentage","0","Units",,,1.46,,
"JPN","Japan","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2001","2001","PC","Percentage","0","Units",,,0.21,,
"JPN","Japan","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2002","2002","PC","Percentage","0","Units",,,0.22,,
"JPN","Japan","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2003","2003","PC","Percentage","0","Units",,,0.22,,
"JPN","Japan","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2004","2004","PC","Percentage","0","Units",,,0.26,,
"JPN","Japan","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2005","2005","PC","Percentage","0","Units",,,0.27,,
"JPN","Japan","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2006","2006","PC","Percentage","0","Units",,,0.31,,
"JPN","Japan","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2007","2007","PC","Percentage","0","Units",,,0.34,,
"JPN","Japan","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2008","2008","PC","Percentage","0","Units",,,0.37,,
"JPN","Japan","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2009","2009","PC","Percentage","0","Units",,,0.4,,
"JPN","Japan","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2010","2010","PC","Percentage","0","Units",,,0.7,,
"JPN","Japan","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2011","2011","PC","Percentage","0","Units",,,0.75,,
"JPN","Japan","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2012","2012","PC","Percentage","0","Units",,,0.68,,
"JPN","Japan","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2013","2013","PC","Percentage","0","Units",,,0.67,,
"JPN","Japan","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2014","2014","PC","Percentage","0","Units",,,0.68,,
"JPN","Japan","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2015","2015","PC","Percentage","0","Units",,,0.66,,
"JPN","Japan","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2016","2016","PC","Percentage","0","Units",,,0.66,,
"JPN","Japan","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2017","2017","PC","Percentage","0","Units",,,0.65,,
"USA","United States","TOTAL","Total","FAM15A","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 133% of average earnings","2001","2001","PC","Percentage","0","Units",,,0.5,,
"USA","United States","TOTAL","Total","FAM15A","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 133% of average earnings","2002","2002","PC","Percentage","0","Units",,,0.5,,
"USA","United States","TOTAL","Total","FAM15A","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 133% of average earnings","2003","2003","PC","Percentage","0","Units",,,0.7,,
"USA","United States","TOTAL","Total","FAM15A","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 133% of average earnings","2004","2004","PC","Percentage","0","Units",,,0.7,,
"USA","United States","TOTAL","Total","FAM15A","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 133% of average earnings","2005","2005","PC","Percentage","0","Units",,,0.7,,
"USA","United States","TOTAL","Total","FAM15A","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 133% of average earnings","2006","2006","PC","Percentage","0","Units",,,0.6,,
"USA","United States","TOTAL","Total","FAM15A","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 133% of average earnings","2007","2007","PC","Percentage","0","Units",,,0.6,,
"USA","United States","TOTAL","Total","FAM15A","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 133% of average earnings","2008","2008","PC","Percentage","0","Units",,,0.9,,
"USA","United States","TOTAL","Total","FAM15A","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 133% of average earnings","2009","2009","PC","Percentage","0","Units",,,0.7,,
"USA","United States","TOTAL","Total","FAM15A","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 133% of average earnings","2010","2010","PC","Percentage","0","Units",,,0.6,,
"USA","United States","TOTAL","Total","FAM15A","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 133% of average earnings","2011","2011","PC","Percentage","0","Units",,,0.6,,
"USA","United States","TOTAL","Total","FAM15A","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 133% of average earnings","2012","2012","PC","Percentage","0","Units",,,0.6,,
"USA","United States","TOTAL","Total","FAM15A","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 133% of average earnings","2013","2013","PC","Percentage","0","Units",,,0.5,,
"USA","United States","TOTAL","Total","FAM15A","Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 133% of average earnings","2014","2014","PC","Percentage","0","Units",,,0.5,,
