"COUNTRY","Country","SEX","Sex","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NZL","New Zealand","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2020","2020",,,"0","Units",,,3.5,,
"GRC","Greece","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2006","2006",,,"0","Units",,,36.688014639,,
"GRC","Greece","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2010","2010",,,"0","Units",,,29.513991163,,
"GRC","Greece","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2014","2014",,,"0","Units",,,23.726495726,,
"GRC","Greece","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2018","2018",,,"0","Units",,,22.343522562,,
"GRC","Greece","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2019","2019",,,"0","Units",,,25.270986362,,
"CHE","Switzerland","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2006","2006",,,"0","Units",,,19.518235029,,
"CHE","Switzerland","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2008","2008",,,"0","Units",,,19.406593407,,
"CHE","Switzerland","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2010","2010",,,"0","Units",,,19.265658747,,
"CHE","Switzerland","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2012","2012",,,"0","Units",,,28.031766473,,
"CHE","Switzerland","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2014","2014",,,"0","Units",,,21.588296761,,
"CHE","Switzerland","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2016","2016",,,"0","Units",,,14.865696125,,
"CHE","Switzerland","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2018","2018",,,"0","Units",,,14.285714286,,
"CHE","Switzerland","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2020","2020",,,"0","Units",,,13.600644771,,
"BGR","Bulgaria","MW","All persons","GWG5","Gender wage gap at median","2010","2010",,,"0","Units",,,6.9343065693,,
"BGR","Bulgaria","MW","All persons","GWG5","Gender wage gap at median","2014","2014",,,"0","Units",,,4.0625,,
"BGR","Bulgaria","MW","All persons","GWG5","Gender wage gap at median","2018","2018",,,"0","Units",,,3.0303030303,,
"BGR","Bulgaria","MW","All persons","GWG5","Gender wage gap at median","2019","2019",,,"0","Units",,,3.3577967679,,
"BGR","Bulgaria","MW","All persons","GWG5","Gender wage gap at median","2020","2020",,,"0","Units",,,2.5546878995,,
"HRV","Croatia","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2010","2010",,,"0","Units",,,9.3529411765,,
"HRV","Croatia","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2014","2014",,,"0","Units",,,15.318230852,,
"HRV","Croatia","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2018","2018",,,"0","Units",,,13.173359452,,
"HRV","Croatia","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2019","2019",,,"0","Units",,,6.9803339681,,
"SVK","Slovak Republic","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2005","2005",,,"0","Units",,,17.39261948,,
"SVK","Slovak Republic","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2006","2006",,,"0","Units",,,12.57283042,,
"SVK","Slovak Republic","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2007","2007",,,"0","Units",,,12.039106145,,
"SVK","Slovak Republic","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2008","2008",,,"0","Units",,,8.7870619946,,
"SVK","Slovak Republic","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2009","2009",,,"0","Units",,,7.6285894604,,
"SVK","Slovak Republic","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2010","2010",,,"0","Units",,,5.5108535355,,
"SVK","Slovak Republic","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2011","2011",,,"0","Units",,,3.7541613316,,
"SVK","Slovak Republic","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2012","2012",,,"0","Units",,,5.8148522994,,
"SVK","Slovak Republic","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2013","2013",,,"0","Units",,,2.9874858342,,
"SVK","Slovak Republic","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2014","2014",,,"0","Units",,,4.8800288652,,
"SVK","Slovak Republic","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2015","2015",,,"0","Units",,,3.784101548,,
"SVK","Slovak Republic","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2016","2016",,,"0","Units",,,5.1304347826,,
"SVK","Slovak Republic","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2017","2017",,,"0","Units",,,5.4881028455,,
"SVK","Slovak Republic","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2018","2018",,,"0","Units",,,5.8327332579,,
"SVK","Slovak Republic","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2019","2019",,,"0","Units",,,2.4627818528,,
"SVK","Slovak Republic","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2020","2020",,,"0","Units",,,2.9404472568,,
"SVK","Slovak Republic","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2021","2021",,,"0","Units",,,3.3591982138,,
"IRL","Ireland","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2006","2006",,,"0","Units",,,15.414579855,,
"IRL","Ireland","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2010","2010",,,"0","Units",,,14.398200225,,
"IRL","Ireland","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2014","2014",,,"0","Units",,,13.065326633,,
"IRL","Ireland","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2018","2018",,,"0","Units",,,10.093167702,,
"PRT","Portugal","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2006","2006",,,"0","Units",,,11.491935484,,
"PRT","Portugal","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2010","2010",,,"0","Units",,,9.5890410959,,
"PRT","Portugal","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2014","2014",,,"0","Units",,,9.2382495948,,
"PRT","Portugal","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2018","2018",,,"0","Units",,,1.7341040462,,
"PRT","Portugal","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2020","2020",,,"0","Units",,,2.0150212499,,
"NZL","New Zealand","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2005","2005",,,"0","Units",,,20.788849348,,
"NZL","New Zealand","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2006","2006",,,"0","Units",,,17.8,,
"NZL","New Zealand","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2007","2007",,,"0","Units",,,19.369134515,,
"NZL","New Zealand","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2008","2008",,,"0","Units",,,19.06653426,,
"NZL","New Zealand","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2009","2009",,,"0","Units",,,18.995896693,,
"NZL","New Zealand","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2010","2010",,,"0","Units",,,18.285847735,,
"NZL","New Zealand","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2011","2011",,,"0","Units",,,18.703745234,,
"NZL","New Zealand","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2012","2012",,,"0","Units",,,18.74864219,,
"NZL","New Zealand","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2013","2013",,,"0","Units",,,20,,
"NZL","New Zealand","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2014","2014",,,"0","Units",,,20,,
"NZL","New Zealand","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2015","2015",,,"0","Units",,,20.278053625,,
"NZL","New Zealand","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2016","2016",,,"0","Units",,,19.795356159,,
"NZL","New Zealand","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2017","2017",,,"0","Units",,,16.9867353,,
"NZL","New Zealand","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2018","2018",,,"0","Units",,,18.353831599,,
"NZL","New Zealand","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2019","2019",,,"0","Units",,,16.410352588,,
"NZL","New Zealand","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2020","2020",,,"0","Units",,,13.98972906,,
"NZL","New Zealand","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2021","2021",,,"0","Units",,,16.666666667,,
"OECD","OECD countries","MW","All persons","GWG5","Gender wage gap at median","2005","2005",,,"0","Units",,,16.0370723452359,,
"OECD","OECD countries","MW","All persons","GWG5","Gender wage gap at median","2006","2006",,,"0","Units",,,15.7244035114139,,
"OECD","OECD countries","MW","All persons","GWG5","Gender wage gap at median","2007","2007",,,"0","Units",,,15.046712666826,,
"OECD","OECD countries","MW","All persons","GWG5","Gender wage gap at median","2008","2008",,,"0","Units",,,15.1197091279657,,
"OECD","OECD countries","MW","All persons","GWG5","Gender wage gap at median","2009","2009",,,"0","Units",,,14.5620896303979,,
"OECD","OECD countries","MW","All persons","GWG5","Gender wage gap at median","2010","2010",,,"0","Units",,,14.0200810629817,,
"OECD","OECD countries","MW","All persons","GWG5","Gender wage gap at median","2011","2011",,,"0","Units",,,13.8468613348929,,
"OECD","OECD countries","MW","All persons","GWG5","Gender wage gap at median","2012","2012",,,"0","Units",,,13.9698569878694,,
"OECD","OECD countries","MW","All persons","GWG5","Gender wage gap at median","2013","2013",,,"0","Units",,,13.8646647144289,,
"OECD","OECD countries","MW","All persons","GWG5","Gender wage gap at median","2014","2014",,,"0","Units",,,13.8279590961627,,
"OECD","OECD countries","MW","All persons","GWG5","Gender wage gap at median","2015","2015",,,"0","Units",,,13.9388684579009,,
"OECD","OECD countries","MW","All persons","GWG5","Gender wage gap at median","2016","2016",,,"0","Units",,,13.4533949889541,,
"OECD","OECD countries","MW","All persons","GWG5","Gender wage gap at median","2017","2017",,,"0","Units",,,12.9594524655285,,
"OECD","OECD countries","MW","All persons","GWG5","Gender wage gap at median","2018","2018",,,"0","Units",,,13.0176372775592,,
"OECD","OECD countries","MW","All persons","GWG5","Gender wage gap at median","2019","2019",,,"0","Units",,,13.023612410128,,
"OECD","OECD countries","MW","All persons","GWG5","Gender wage gap at median","2020","2020",,,"0","Units",,,11.8662863277818,,
"OECD","OECD countries","MW","All persons","GWG5","Gender wage gap at median","2021","2021",,,"0","Units",,,11.9329258987216,,
"KOR","Korea","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2005","2005",,,"0","Units",,,20.710575046,,
"KOR","Korea","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2006","2006",,,"0","Units",,,19.660989716,,
"KOR","Korea","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2007","2007",,,"0","Units",,,19.123505976,,
"KOR","Korea","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2008","2008",,,"0","Units",,,18.971962617,,
"KOR","Korea","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2009","2009",,,"0","Units",,,19.922912457,,
"KOR","Korea","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2010","2010",,,"0","Units",,,20.453392212,,
"KOR","Korea","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2011","2011",,,"0","Units",,,16.874480466,,
"KOR","Korea","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2012","2012",,,"0","Units",,,18.727634195,,
"KOR","Korea","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2013","2013",,,"0","Units",,,18.79350348,,
"KOR","Korea","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2014","2014",,,"0","Units",,,20.309084837,,
"KOR","Korea","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2015","2015",,,"0","Units",,,16.142857143,,
"KOR","Korea","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2016","2016",,,"0","Units",,,15.379449295,,
"KOR","Korea","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2017","2017",,,"0","Units",,,10.586137672,,
"KOR","Korea","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2018","2018",,,"0","Units",,,7.6470588235,,
"KOR","Korea","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2019","2019",,,"0","Units",,,7.3394848918,,
"KOR","Korea","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2020","2020",,,"0","Units",,,7.1578947368,,
"KOR","Korea","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2021","2021",,,"0","Units",,,8.474591784,,
"LVA","Latvia","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2014","2014",,,"0","Units",,,3.9325842697,,
"LVA","Latvia","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2018","2018",,,"0","Units",,,12.213740458,,
"LVA","Latvia","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2019","2019",,,"0","Units",,,10.154594461,,
"LVA","Latvia","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2020","2020",,,"0","Units",,,17.149141283,,
"LVA","Latvia","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2021","2021",,,"0","Units",,,12.984213847,,
"AUT","Austria","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2005","2005",,,"0","Units",,,27.706054851,,
"AUT","Austria","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2006","2006",,,"0","Units",,,27.075022305,,
"AUT","Austria","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2007","2007",,,"0","Units",,,26.612602268,,
"AUT","Austria","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2008","2008",,,"0","Units",,,26.12972378,,
"AUT","Austria","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2009","2009",,,"0","Units",,,24.896310407,,
"AUT","Austria","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2010","2010",,,"0","Units",,,24.467390664,,
"AUT","Austria","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2011","2011",,,"0","Units",,,23.920956,,
"AUT","Austria","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2012","2012",,,"0","Units",,,23.337728001,,
"AUT","Austria","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2013","2013",,,"0","Units",,,23.311910754,,
"AUT","Austria","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2014","2014",,,"0","Units",,,23.036545073,,
"AUT","Austria","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2015","2015",,,"0","Units",,,22.251296539,,
"AUT","Austria","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2016","2016",,,"0","Units",,,20.989137802,,
"AUT","Austria","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2017","2017",,,"0","Units",,,20.651262868,,
"AUT","Austria","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2018","2018",,,"0","Units",,,20.078482969,,
"AUT","Austria","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2019","2019",,,"0","Units",,,19.446543075,,
"AUT","Austria","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2020","2020",,,"0","Units",,,18.068700647,,
"AUT","Austria","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2021","2021",,,"0","Units",,,17.951335353,,
"MLT","Malta","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2006","2006",,,"0","Units",,,19.163100333,,
"MLT","Malta","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2010","2010",,,"0","Units",,,21.071287909,,
"MLT","Malta","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2014","2014",,,"0","Units",,,21.03879027,,
"MLT","Malta","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2018","2018",,,"0","Units",,,22.483940043,,
"DEU","Germany","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2005","2005",,,"0","Units",,,28.571428571,,
"DEU","Germany","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2006","2006",,,"0","Units",,,19.32059448,,
"DEU","Germany","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2007","2007",,,"0","Units",,,18.75,,
"DEU","Germany","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2008","2008",,,"0","Units",,,19.454451879,,
"DEU","Germany","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2009","2009",,,"0","Units",,,21.212121212,,
"DEU","Germany","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2010","2010",,,"0","Units",,,19.242424242,,
"DEU","Germany","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2011","2011",,,"0","Units",,,19.444444444,,
"DEU","Germany","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2012","2012",,,"0","Units",,,17.5,,
"DEU","Germany","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2013","2013",,,"0","Units",,,13.725490196,,
"DEU","Germany","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2014","2014",,,"0","Units",,,18.194444444,,
"DEU","Germany","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2015","2015",,,"0","Units",,,16.666666667,,
"DEU","Germany","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2016","2016",,,"0","Units",,,14.772727273,,
"DEU","Germany","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2017","2017",,,"0","Units",,,11.089778753,,
"DEU","Germany","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2018","2018",,,"0","Units",,,14.473684211,,
"DEU","Germany","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2019","2019",,,"0","Units",,,13.157894737,,
"DEU","Germany","MW","All persons","GWG1","Gender wage gap at 1st decile (bottom)","2020","2020",,,"0","Units",,,14.947368421,,
"PRT","Portugal","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2006","2006",,,"0","Units",,,8.3959899749,,
"PRT","Portugal","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2010","2010",,,"0","Units",,,12.452687358,,
"PRT","Portugal","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2014","2014",,,"0","Units",,,16.037368626,,
"PRT","Portugal","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2018","2018",,,"0","Units",,,13.08858739,,
"PRT","Portugal","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2019","2019",,,"0","Units",,,14.549233324,,
"PRT","Portugal","MW","All persons","GWG9","Gender wage gap at 9th decile (top)","2020","2020",,,"0","Units",,,10.829169933,,
"ISL","Iceland","MW","All persons","GWG5","Gender wage gap at median","2006","2006",,,"0","Units",,,23.269628099,,
"ISL","Iceland","MW","All persons","GWG5","Gender wage gap at median","2010","2010",,,"0","Units",,,16.46039604,,
"ISL","Iceland","MW","All persons","GWG5","Gender wage gap at median","2014","2014",,,"0","Units",,,13.84083045,,
"ISL","Iceland","MW","All persons","GWG5","Gender wage gap at median","2018","2018",,,"0","Units",,,12.901247189,,
"MEX","Mexico","MW","All persons","GWG5","Gender wage gap at median","2005","2005",,,"0","Units",,,16.666666667,,
"MEX","Mexico","MW","All persons","GWG5","Gender wage gap at median","2006","2006",,,"0","Units",,,18.604651163,,
"MEX","Mexico","MW","All persons","GWG5","Gender wage gap at median","2007","2007",,,"0","Units",,,12.5,,
"MEX","Mexico","MW","All persons","GWG5","Gender wage gap at median","2008","2008",,,"0","Units",,,22.222222222,,
"MEX","Mexico","MW","All persons","GWG5","Gender wage gap at median","2009","2009",,,"0","Units",,,16.666666667,,
"MEX","Mexico","MW","All persons","GWG5","Gender wage gap at median","2010","2010",,,"0","Units",,,11.627906977,,
"MEX","Mexico","MW","All persons","GWG5","Gender wage gap at median","2011","2011",,,"0","Units",,,10,,
"MEX","Mexico","MW","All persons","GWG5","Gender wage gap at median","2012","2012",,,"0","Units",,,13.555555556,,
"MEX","Mexico","MW","All persons","GWG5","Gender wage gap at median","2013","2013",,,"0","Units",,,15.433403805,,
"MEX","Mexico","MW","All persons","GWG5","Gender wage gap at median","2014","2014",,,"0","Units",,,18.3,,
"MEX","Mexico","MW","All persons","GWG5","Gender wage gap at median","2015","2015",,,"0","Units",,,16.666666667,,
"MEX","Mexico","MW","All persons","GWG5","Gender wage gap at median","2016","2016",,,"0","Units",,,16.492248062,,
"MEX","Mexico","MW","All persons","GWG5","Gender wage gap at median","2017","2017",,,"0","Units",,,11.111111111,,
"MEX","Mexico","MW","All persons","GWG5","Gender wage gap at median","2018","2018",,,"0","Units",,,14,,
"MEX","Mexico","MW","All persons","GWG5","Gender wage gap at median","2021","2021",,,"0","Units",,,12.5,,
"CAN","Canada","MW","All persons","GWG5","Gender wage gap at median","2005","2005",,,"0","Units",,,21.25,,
"CAN","Canada","MW","All persons","GWG5","Gender wage gap at median","2006","2006",,,"0","Units",,,21.123321123,,
"CAN","Canada","MW","All persons","GWG5","Gender wage gap at median","2007","2007",,,"0","Units",,,20.808235294,,
"CAN","Canada","MW","All persons","GWG5","Gender wage gap at median","2008","2008",,,"0","Units",,,20.454545455,,
"CAN","Canada","MW","All persons","GWG5","Gender wage gap at median","2009","2009",,,"0","Units",,,20.131868132,,
"CAN","Canada","MW","All persons","GWG5","Gender wage gap at median","2010","2010",,,"0","Units",,,18.977469671,,
"CAN","Canada","MW","All persons","GWG5","Gender wage gap at median","2011","2011",,,"0","Units",,,19.175531915,,
"CAN","Canada","MW","All persons","GWG5","Gender wage gap at median","2012","2012",,,"0","Units",,,19.511231281,,
"CAN","Canada","MW","All persons","GWG5","Gender wage gap at median","2013","2013",,,"0","Units",,,19.30323498,,
"CAN","Canada","MW","All persons","GWG5","Gender wage gap at median","2014","2014",,,"0","Units",,,19.229,,
"CAN","Canada","MW","All persons","GWG5","Gender wage gap at median","2015","2015",,,"0","Units",,,18.62745098,,
"CAN","Canada","MW","All persons","GWG5","Gender wage gap at median","2016","2016",,,"0","Units",,,18.221153846,,
"CAN","Canada","MW","All persons","GWG5","Gender wage gap at median","2017","2017",,,"0","Units",,,18.17322239,,
"CAN","Canada","MW","All persons","GWG5","Gender wage gap at median","2018","2018",,,"0","Units",,,18.518518519,,
"CAN","Canada","MW","All persons","GWG5","Gender wage gap at median","2019","2019",,,"0","Units",,,17.607142857,,
"CAN","Canada","MW","All persons","GWG5","Gender wage gap at median","2020","2020",,,"0","Units",,,16.112531969,,
"CAN","Canada","MW","All persons","GWG5","Gender wage gap at median","2021","2021",,,"0","Units",,,16.666666667,,
"ITA","Italy","MW","All persons","GWG5","Gender wage gap at median","2006","2006",,,"0","Units",,,10.512820513,,
"ITA","Italy","MW","All persons","GWG5","Gender wage gap at median","2010","2010",,,"0","Units",,,5.6405353728,,
"ITA","Italy","MW","All persons","GWG5","Gender wage gap at median","2014","2014",,,"0","Units",,,6.5847234416,,
"ITA","Italy","MW","All persons","GWG5","Gender wage gap at median","2018","2018",,,"0","Units",,,5.7080610022,,
"ITA","Italy","MW","All persons","GWG5","Gender wage gap at median","2019","2019",,,"0","Units",,,7.6401524596,,
"ITA","Italy","MW","All persons","GWG5","Gender wage gap at median","2020","2020",,,"0","Units",,,8.7160669811,,
